id	type	slug	name	born	died	gender	species	hair_color	eye_color	skin_color	blood_status	marital_status	nationality	animagus	boggart	house	patronus	alias_names	family_members	jobs	romances	titles	wands	idhouses	idgender	idspecies	idsangre
76e9c06d f68e 40ac 85a6 9dadd62305dc	character	angus buchanan s father	angus buchanan s father	missing	missing	male	human	missing	missing	missing	squibs	missing	scottish	missing	missing	gryffindor	missing	missing	[ wife ,  hamish buchanan  son  ,  flora buchanan  daughter  ,  angus buchanan  son  ,  eight other children ,  buchanan family ]	missing	missing	missing	missing	g	g2	sp1	s43
aed1b28c b75b 4e3b 81c1 7d5ac08ada4d	character	angus buchanan s mother	angus buchanan s mother	missing	missing	female	human	missing	missing	missing	half bloods or squibs	missing	scotland	missing	missing	horned serpent	missing	missing	[ husband ,  hamish buchanan  son  ,  flora buchanan  daughter  ,  angus buchanan  son  ,  eight other children ,  buchanan family ]	missing	missing	missing	missing	hs	g1	sp1	s33
53447760 c035 46a8 8a1c 7111ebf04bd4	character	angus buchanan s siblings	angus buchanan s siblings	missing	missing	males, females	humans	missing	missing	missing	pure blood or half blood	missing	scottish	missing	missing	gryffindor	missing	missing	[ father ,  mother ,  hamish buchanan  brother  ,  flora buchanan  sister  ,  angus buchanan  brother  ,  buchanan family ]	missing	missing	missing	missing	g	g4	sp11	s4
7ba9bc74 850e 4676 b388 d45d382b86dc	character	angus campbell	angus campbell	missing	missing	male	human	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	pukwudgie	missing	missing	[ lennox campbell  possibly  ]	[ chaser for the montrose magpies ]	missing	missing	missing	p	g2	sp1	s4
12c85a48 c490 45dc a420 4fa8f7bc4a2c	character	angus fleet	angus fleet	missing	missing	male	human	missing	missing	missing	muggle	missing	missing	missing	missing	horned serpent	missing	missing	missing	missing	missing	missing	missing	hs	g2	sp1	s0
99e528fd e79a 4a04 abd6 6bfefe6957b4	character	angus matlock	angus matlock	31 august 1982 or earlier	missing	male	human	dark brown	brown	white	muggle born or half blood  possibly 	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	[ duelling club captain ,  house champion ]	[ unknown length, wood and core ]	g	g2	sp1	s50
407ae7df bf24 4a0d abf5 c823c7546aae	character	angus mcmangus	angus mcmangus	c  1921	missing	male	human	missing	missing	missing	part human  one eighth veela 	missing	british	missing	missing	ravenclaw	missing	[ angry angus mcmangus ]	missing	missing	missing	missing	missing	r	g2	sp1	s66
822bfefe fdb4 4e70 b5a0 64d72fb78984	character	anita macduff	anita macduff	between 1 september 1978 and 31 august 1980	missing	female	human	missing	missing	missing	pure bloods or half bloods	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g1	sp1	s65
a6d21051 2f23 4e94 b3b8 ca1cb5932188	character	anjali kapoor	anjali kapoor	31 august 1982 or earlier	missing	female	human	missing	missing	missing	squib  possibly 	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g1	sp1	s15
5c9c7cef d83b 4f14 87b9 86417174e522	character	anji oliver	anji oliver	missing	missing	female	human	missing	missing	missing	muggle	missing	missing	missing	missing	wampus	missing	missing	missing	missing	missing	missing	missing	w	g1	sp1	s0
6cd6cf68 8c14 4414 b082 3b0c4475cc68	character	annabel entwhistle	annabel entwhistle	on or prior to 31 august 1982	missing	female	human	missing	missing	missing	muggle born  possibly 	missing	british or irish	missing	missing	hufflepuff	missing	missing	[ kevin entwhistle  possibly  ]	missing	missing	missing	missing	h	g1	sp1	s14
67600901 b3c6 4124 aa7e b889f008c2a0	character	anna chiwawa	anna chiwawa	missing	missing	female	human	missing	missing	missing	muggle	missing	missing	missing	missing	wampus	missing	missing	missing	[ singer ]	missing	missing	missing	w	g1	sp1	s0
cf51cbcf 5ceb 4c99 bbf9 87804e6250b1	character	anna hill hall	anna hill hall	1978 or earlier	missing	female	human	missing	missing	missing	muggle	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	[ data retrieval officer for the metropolitan police ]	missing	missing	missing	h	g1	sp1	s0
8be06c01 41c8 4948 938a 407aa41587ee	character	annalena gleam	annalena gleam	 sun in pisces, moon in leo 	missing	female	human	blonde	green	light	squib  suspected 	married	british or irish	missing	missing	gryffindor	missing	missing	[ father ,  mother ,  ismelda murk  younger sister  ,  grandmother ,  murk family ,  gleam family  in laws  ]	[ employee of the british ministry of magic ]	missing	[ prefect ]	missing	g	g1	sp1	s48
b6199a96 8d86 4cbf a977 b900ada867e6	character	anna mirfield	anna mirfield	31 august 1982 or earlier	missing	female	human	missing	missing	missing	pure blood or half blood, or squib	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g1	sp1	s47
7d6362a0 235e 4abf 8da8 7135dbfbbefc	character	anne boleyn	anne boleyn	1501 1507, norfolk, england, great britain	19 may 1536  aged 29 35 , london, england, great britain	female	human	dark	dark	pale	squib  possibly 	married  28th may 1533   17th may 1536 divorced  17th   19th may 1536 	missing	missing	missing	ravenclaw	missing	missing	[ king henry viii  ex husband  ,  queen elizabeth i  daughter  ,  queen mary i  ex stepdaughter  ,  king henry vii  ex father in law  ,  william i  ancestor  ,  queen elizabeth ii  distant relative  ,  house of tudor ]	missing	[ king henry viii  ex husband  ]	[ lady anne boleyn ,  marquess of pembroke ,  queen consort of england ]	missing	r	g1	sp1	s15
0558a0b9 ad98 496d 8806 16b33386f2b3	character	annis black	annis black	20th century  possibly 	missing	female	hag	missing	missing	missing	half blood  most likely 	missing	british	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g1	sp12	s26
8105f4da 77dd 4925 9176 529aba8644fd	character	announcer at henry shaw junior s fundraising dinner	announcer at henry shaw junior s fundraising dinner	missing	missing	male	human	missing	missing	missing	no maj	missing	american	missing	missing	thunderbird	missing	missing	missing	[ announcer ]	missing	missing	missing	t	g2	sp1	s5
76e99f36 f562 4c33 a9cd 08061e899fb1	character	anthony goldstein	anthony goldstein	between 1 september 1979 and 31 august 1980	missing	male	human	missing	missing	missing	half blood	missing	british or irish	missing	missing	ravenclaw	non corporeal	missing	[ porpentina scamander  distant relative  ,  queenie goldstein  distant relative  ,  rolf scamander  distant relative  ,  luna scamander  distant relative  ,  lorcan scamander  distant relative  ,  lysander scamander  distant relative  ,  scamander family  distant relatives  ,  goldstein family ]	missing	missing	[ prefect ]	missing	r	g2	sp1	s1
e3dba158 8d0f 4630 b7f6 9c874862f7f5	character	anthony otterburn	anthony otterburn	31 august 1982 or earlier	missing	male	human	blond	missing	light	squib, pure blood or half blood	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g2	sp1	s42
3a7cc490 0663 4202 b364 a1db81a21055	character	anthony rickett	anthony rickett	31 august 1982 or earlier	missing	male	human	missing	missing	fair	pure blood  likely 	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	missing	missing	[ beater ]	missing	h	g2	sp1	s39
3f1f2f6f 2eda 4ef2 a55c e4804aa7bdf4	character	antioch peverell	antioch peverell	prior to 12 july, 1214	prior to 19 may, 1292, wizarding inn, england	male	human	missing	missing	missing	pure blood	single	missing	missing	missing	thunderbird	missing	[ first brother ]	[ cadmus peverell  brother    ,  ignotus peverell  brother    ,  ignotus s son  nephew    ,  at least one niece or nephew    via cadmus  ,  peverell family ]	missing	missing	missing	[ unknown length, wood, and core  formerly  ,  15 , elder, thestral tail hair core ]	t	g2	sp1	s2
a6da9607 6011 434a 931f 9efe9d474754	character	antioch peverell s enemy	antioch peverell s enemy	missing	between 12 july, 1214 and 18 may, 1291	male	human	missing	missing	missing	muggle born or half blood  presumably 	missing	missing	missing	missing	horned serpent	missing	missing	missing	missing	missing	missing	[ unknown length, wood and core ]	hs	g2	sp1	s54
07200cfe 90c0 4dfe 9d6d 7d18e147c8f2	character	antioch peverell s killer	antioch peverell s killer	missing	missing	male	human	missing	missing	missing	squib or wizard  likely 	missing	missing	missing	missing	wampus	missing	missing	missing	missing	missing	missing	[ unknown length, wood and core ,  15 , elder, thestral tail hair core ]	w	g2	sp1	s17
63fdaf5a 95f0 46e4 8b33 bcf8cb3d3cbc	character	antonia creaseworthy	antonia creaseworthy	missing	between 1624 and 1986	female	human	brown	brown	white	half blood, pure blood or squib	missing	british or irish	missing	missing	thunderbird	missing	missing	missing	[ headmistress of hogwarts school of witchcraft and wizardry  unknown period  ]	missing	[ dame ,  headmistress ]	missing	t	g1	sp1	s56
207b1f2e 4962 4bde a9ee dfb022fa4ca0	character	antonin dolohov	antonin dolohov	missing	missing	male	human	dark	missing	pale	pure blood or half blood	missing	missing	missing	missing	thunderbird	none	missing	missing	missing	missing	missing	[ unknown length, wood and core ]	t	g2	sp1	s4
deb00556 5988 4810 989e 1947ded18270	character	antonio	antonio	pre 1927	missing	male	chupacabra	missing	missing	blue and red	part human  half giant 	missing	missing	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g2	sp13	s59
3088cd39 b276 42c4 bd07 3483b9017c28	character	anton vogel	anton vogel	before 1932	missing	male	human	missing	missing	missing	pure blood, half blood or squib  most likely 	missing	german	missing	missing	wampus	missing	missing	missing	[ german minister for magic ,  supreme mugwump of the international confederation of wizards   1932  ]	missing	[ minister for magic ,  supreme mugwump ]	[ unknown length, wood and core ]	w	g2	sp1	s62
9595f5a2 8e1c 4679 a939 f5f8c83b294e	character	a osborn	a  osborn	missing	missing	male	human	missing	missing	missing	muggle	missing	missing	missing	missing	slytherin	missing	missing	missing	[ author ]	missing	missing	missing	s	g2	sp1	s0
f5b0fdab 9025 45db 9444 a73ba4335f37	character	apolline delacour	apolline delacour	france	missing	female	half human half veela	blonde	missing	missing	part human  half veela 	married	french	missing	missing	horned serpent	missing	missing	[ mother ,  monsieur delacour  husband  ,  fleur delacour  daughter  ,  gabrielle delacour  daughter  ,  bill weasley  son in law  ,  victoire weasley  granddaughter  ,  dominique weasley  granddaughter  ,  louis weasley  grandson  ,  delacour family ,  weasley family ]	missing	[ monsieur delacour  husband  ]	[ madam e  ]	missing	hs	g1	sp14	s16
97a9e512 cbdd 43fe 9249 7917f429465b	character	apolline delacour s mother	apolline delacour s mother	france	missing	female	veela	missing	missing	missing	muggle  possibly 	missing	french	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ apolline delacour  daughter  ,  monsieur delacour  son in law  ,  fleur delacour  granddaughter  ,  gabrielle delacour  granddaughter  ,  william weasley  grandson in law  ,  victoire weasley  great granddaughter  ,  dominique weasley  great granddaughter  ,  louis weasley  great grandson  ,  delacour family ,  weasley family ]	missing	missing	missing	missing	h	g1	sp15	s69
6c2af555 57fc 4a52 b0a0 c9ada6f1e8e5	character	apollyon pringle	apollyon pringle	pre 1944	missing	male	human	missing	missing	missing	squib or wizard  likely 	missing	british or irish	missing	missing	did not attend hogwarts	missing	missing	[ pringle  possibly  ]	[ caretaker of hogwarts  c  1961   c  1968  ]	missing	missing	missing	d	g2	sp1	s17
984a4405 51ad 41cf ab11 efb15de7c4a7	character	apothecary shopkeeper	apothecary shopkeeper	missing	missing	male	human	white	missing	light	muggle	missing	british	missing	missing	pukwudgie	missing	missing	missing	[ shopkeeper of the apothecary ]	missing	missing	missing	p	g2	sp1	s0
15e89c44 6bc5 4b8e b5fb fb9a0b422371	character	aquila greengrass	aquila greengrass	missing	before 2019	female	human	missing	missing	missing	pure blood or half blood  most likely 	married	british	missing	missing	slytherin	missing	missing	[ gareth greengrass  husband  ,  cereus greengrass  daughter  ,  brother in law ,  greengrass family  in laws  ]	missing	[ gareth greengrass  husband  ]	missing	missing	s	g1	sp1	s25
7685856e c783 4e13 87c6 80cd985074c3	character	arabella figg	arabella doreen figg	missing	missing	female	human	grizzled grey flyaway hair	missing	missing	squib	married, divorced or widowed	british	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ parents ]	[ dealer of cross bred cats and kneazles ]	missing	missing	missing	h	g1	sp1	s13
3a90027a 2242 4a25 aacb 2ca165b3f331	character	arabella figg s parents	arabella figg s parents	missing	missing	male, female	humans	missing	missing	missing	one or both of them magical	missing	missing	missing	missing	slytherin	missing	missing	[ arabella figg  daughter  ]	missing	missing	missing	missing	s	g5	sp11	s18
27171697 9e2d 4cd8 bf2a 7a761e470a16	character	aragog	aragog	c  1942	20 april, 1997  aged around 55 	male	acromantula	brown	milky white	missing	muggle  as implied by the muggle born registration commission , pure blood or half blood  as claimed by alderton 	missing	missing	missing	missing	thunderbird	missing	missing	[ mosag  wife  ,  unnamed children ]	missing	missing	missing	missing	t	g2	sp16	s68
248aef2c 009d 46f8 86f0 351fb97499e5	character	araminta meliflua black	araminta meliflua black	approx  1920s   no later than 1978	missing	female	human	missing	missing	missing	pure blood	missing	missing	missing	missing	slytherin	missing	missing	[ walburga black  cousin  ,  alphard black  cousin  ,  cygnus black iii  cousin  ,  sirius black  cousin  ,  regulus black  cousin  ,  house of black ]	missing	missing	missing	missing	s	g1	sp1	s2
a584fcc9 ab0f 4213 b91e 8817d17b12b0	character	aravind chaudhary	aravind chaudhary	before 1993	missing	male	human	missing	missing	missing	pure blood  possibly 	missing	missing	missing	missing	did not attend hogwarts	missing	missing	missing	missing	missing	missing	missing	d	g2	sp1	s27
2dc7a193 c01a 41ce 864f 462191e18392	character	arcadinho	arcadinho	missing	missing	male	human	missing	missing	missing	muggle	missing	brazilian	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	[ wizard guide ]	missing	missing	missing	h	g2	sp1	s0
6de199e9 ea06 49ee a165 b4ca52bc6544	character	archana shetty	archana shetty	31 august 1982 or earlier	missing	female	human	missing	missing	missing	pure blood, half blood, or squib	missing	british or irish	missing	missing	slytherin	missing	missing	missing	missing	missing	missing	missing	s	g1	sp1	s52
227835cf c8e2 401a 8d57 7fe550944a3c	character	archer evermonde	archer evermonde	before 1895	missing	male	human	missing	missing	missing	pure blood or half blood	missing	british	missing	missing	pukwudgie	missing	missing	missing	[ british minister for magic  1912 1923  ]	missing	[ minister for magic ]	missing	p	g2	sp1	s4
08d3143d 5e7f 4b20 965b 76fcd4364dff	character	archibald alderton	archibald alderton	1568	1623  aged 54 55 	male	human	red	missing	white	half blood or muggle born	missing	missing	missing	missing	thunderbird	missing	missing	[ arkie alderton  possibly  ,  alderton  possibly  ]	[ cook ]	missing	missing	missing	t	g2	sp1	s20
589276aa 32b3 4d97 8773 2f9b0956bb1c	character	archibald bennett	archibald bennett	missing	missing	male	human	missing	missing	missing	pure blood, half blood or squib  most likely 	missing	british	missing	missing	horned serpent	missing	missing	missing	[ wigmaker, shopkeeper ]	missing	missing	missing	hs	g2	sp1	s62
da1b85c3 86de 4f31 9c39 5d574bb89aa9	character	archibald bienbon	archibald bienbon	missing	missing	male	human	missing	missing	missing	pure blood  likely 	missing	missing	missing	missing	horned serpent	missing	missing	missing	[ co president of a académie française des sorciers committee ]	missing	[ co president ]	missing	hs	g2	sp1	s39
ec75926a 7a56 48ec a9ba 2ddf33bb4c9e	character	archie aymslowe	archie aymslowe	missing	missing	male	human	missing	missing	missing	pure blood, half blood or squib	missing	missing	missing	missing	thunderbird	missing	missing	missing	[ activist ]	missing	missing	missing	t	g2	sp1	s28
229c0e48 1e36 4eec 9aba 68dc1478e62e	character	architect of hogwarts	architect of hogwarts	missing	missing	male	human	missing	missing	missing	part human  half giant 	missing	british or irish	missing	missing	thunderbird	missing	missing	missing	[ architect ]	missing	missing	missing	t	g2	sp1	s59
2b52850c 0c51 45a5 ac57 1c3b41732e7f	character	arcturus black i	arcturus black i	1835	1893  aged 57   58 	male	human	missing	missing	white	pure blood	single	missing	missing	missing	slytherin  possibly 	missing	missing	[ misapinoa blishwick  possible sister  ,  cygnus black i  possible brother  ,  ella max  possible sister in law  ,  jimbo blishwick  possible brother in law  ,  sirius black i  possible nephew  ,  phineas nigellus black  possible nephew  ,  elladora black  possible niece  ,  iola hitchens  possible niece  ,  black family ]	missing	missing	missing	missing		g2	sp1	s2
a9f9b0bd 4611 40f9 a19f 3af4c4bb1e38	character	arcturus black ii	arcturus black ii	1884	1959  aged 74   75 	male	human	missing	missing	missing	pure blood	married	missing	missing	missing	slytherin  possibly 	missing	missing	[ phineas nigellus black  father    ,  ursula flint  mother  ,  sirius black ii  older brother    ,  phineas black  older brother    ,  belvina black  younger sister    ,  cygnus black ii  younger brother    ,  lysandra yaxley  wife    ,  callidora black  daughter  ,  cedrella black  daughter  ,  charis black  daughter    ,  hesper black  sister in law  ,  lysandra black  sister in law  ,  herbert burke  brother in law  ,  violetta black  sister in law  ,  arcturus black iii  nephew    ,  lycoris black  niece    ,  regulus black i  nephew    ,  pollux black  nephew    ,  cassiopeia black  niece    ,  marius black  nephew    ,  dorea black  niece    ,  sirius black i  paternal uncle    ,  elladora black  paternal aunt  ,  iola black  paternal aunt  ,  bob hitchens  paternal uncle by marriage  ,  harfang longbottom  son in law  ,  septimus weasley  son in law  ,  caspar crouch  son in law  ,  harfang longbottom s son  grandson  ,  harfang longbottom s daughter  granddaughter  ,  arthur weasley s brothers  grandsons  ,  arthur weasley  grandson  ,  bartemius crouch snr  possible grandson  ,  house of black ,  flint family  maternal family  ,  yaxley family  in laws  ]	missing	[ lysandra yaxley  wife  ]	missing	missing		g2	sp1	s2
0a9c0d27 a621 44d3 a05a 78b087701a6e	character	arcturus black iii	arcturus black iii	1901	1991  aged 89 90 	male	human	missing	missing	white	pure blood	married	missing	missing	missing	slytherin  possibly 	missing	missing	[ sirius black ii  father    ,  hesper black  née gamp   mother  ,  lycoris black  younger sister    ,  regulus black i  youngest brother    ,  melania macmillan  wife  ,  lucretia prewett  née black   daughter    ,  orion black  son    ,  phineas black  paternal uncle    ,  arcturus black ii  paternal uncle    ,  belvina burke  née black   paternal aunt    ,  cygnus black ii  paternal uncle    ,  lysandra black  née yaxley   paternal aunt by marriage  ,  herbert burke  paternal uncle by marriage  ,  violetta black  née bulstrode   paternal aunt by marriage  ,  pollux black  paternal first cousin    ,  cassiopeia black  paternal first cousin    ,  marius black  paternal first cousin    ,  dorea potter  née black   paternal first cousin    ,  male paternal cousins ,  female paternal cousin ,  callidora longbottom  née black   paternal first cousin  ,  cedrella weasley  née black   paternal first cousin  ,  charis crouch  née black   paternal first cousin    ,  ignatius prewett  son in law  ,  walburga black  daughter in law first cousin once removed    ,  phineas nigellus black  paternal grandfather    ,  ursula black  née flint   paternal grandmother  ,  sirius black iii  grandson first cousin twice removed    ,  regulus black ii  grandson first cousin twice removed    ,  house of black ,  gamp family  maternal family  ,  macmillan family  in laws  ]	missing	[ melania macmillan  wife  ]	missing	missing		g2	sp1	s2
3620b6c0 c81d 4017 9d40 2d7ebb70b2ba	character	arcus	arcus	missing	missing	male	human	missing	missing	missing	muggle  as implied by the muggle born registration commission , pure blood or half blood  as claimed by alderton 	missing	missing	missing	missing	wampus	missing	missing	missing	missing	missing	missing	[ unknown wand ,  elder, thestral tail hair core  possibly  ]	w	g2	sp1	s68
d90be5b8 0c5a 456f a691 05674edf18ad	character	argo pyrites	argo pyrites	missing	missing	male	human	missing	missing	missing	no maj  most likely 	missing	missing	missing	missing	slytherin	missing	missing	[ pyrites  possibly  ]	[ alchemist, author ]	missing	missing	missing	s	g2	sp1	s34
36cf30b2 871a 4079 b6a0 b6bf3b5af745	character	argus filch	argus filch	pre 1951	missing	male	human	grey  balding 	pale	missing	squib	missing	british or irish	missing	missing	thunderbird	missing	[ filchy  by peeves  ]	missing	[ caretaker of hogwarts  since c  1968  ]	[ irma pince ]	[ caretaker ]	missing	t	g2	sp1	s13
61ecb7ed 282e 4cc7 8e2e 9c5c9fba67b3	character	ariana dumbledore	ariana dumbledore	c  1885	late summer 1899  aged 14 , godric s hollow, west country, england	female	human  obscurial 	blonde	missing	missing	half blood	missing	british	missing	missing	ravenclaw	missing	missing	[ percival dumbledore  father    ,  kendra dumbledore  mother    ,  albus dumbledore  older brother    ,  aberforth dumbledore  older brother  ,  aurelius dumbledore  nephew  ,  honoria  aunt  ,  mr dumbledore  paternal great great grandfather    ,  dumbledore family ]	missing	missing	missing	missing	r	g1	sp17	s1
37463f1c 9f7b 4d57 b42c efc4de1f5ece	character	ariana dumbledore s phoenix	ariana dumbledore s phoenix	1899	immortal	missing	phoenix	missing	black	missing	pure blood  possibly 	missing	missing	missing	missing	pukwudgie	missing	missing	missing	missing	missing	missing	missing	p	g0	sp5	s27
a25a197c 56be 4cac bdc8 5ae61b6bca25	character	ariel singleton	ariel singleton	missing	missing	female	human	red	missing	white	underbeing	missing	american	missing	missing	slytherin	missing	missing	missing	[ seeker for the american national quidditch team ]	missing	[ seeker ]	missing	s	g1	sp1	s58
2760372c 063c 407a 9dc8 4362aa659852	character	arif sikander	arif sikander	before 1973  most likely 	missing	male	human	brown	brown	light	part human  part vampire 	missing	british or irish	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	[ muggle studies professor at hogwarts school of witchcraft and wizardry  1990–1991 school year  ]	missing	[ professor ]	[ unknown length, wood and core ]	h	g2	sp1	s51
3debee8c 9268 436e a0a5 3cf06ba5de20	character	aristotle twelvetrees	aristotle twelvetrees	missing	missing	male	human	missing	missing	missing	one eighth veela	missing	american	missing	missing	gryffindor	missing	missing	[ dorcus twelvetrees  daughter  ]	[ keeper of treasure and dragots ]	missing	missing	missing	g	g2	sp1	s36
ccd9e362 3037 44bb 811e ff153b94e16f	character	arjuna balaji	arjuna balaji	31 august 1982 or earlier,	missing	male	human	missing	missing	missing	pure blood, half blood or squib  possibly 	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	missing	missing	missing	missing	r	g2	sp1	s3
92e6ab5b 0c7e 439f bb14 844eb2c78fe5	character	arkie alderton	arkie alderton	missing	missing	male	human	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	thunderbird	missing	missing	[ archibald alderton  possible ancestor  ,  alleged son ,  alderton  possibly  ,  william alderton  possibly  ]	[ broomstick designer ]	missing	missing	missing	t	g2	sp1	s4
076c4656 ea74 4ece 8aec e366b935d3e7	character	arkie philpott	arkie philpott	missing	missing	male	human	missing	missing	missing	no maj  most likely 	missing	missing	missing	missing	horned serpent	missing	missing	missing	missing	missing	missing	missing	hs	g2	sp1	s34
bf066bb0 ceaa 4cfc b90f 13253701ee70	character	arlene piper	arlene piper	missing	missing	female	human	missing	missing	missing	no maj	missing	missing	missing	missing	gryffindor	missing	missing	missing	[ actor ]	missing	missing	missing	g	g1	sp1	s5
4fe742fe ba2e 42ad ae72 2d67c269c35a	character	armand malfoy	armand malfoy	pre 1066, france	post 1066, england, great britain	male	human	missing	missing	missing	pure blood	missing	french english	missing	missing	thunderbird	missing	missing	[ nicholas malfoy  descendant    ,  lucius malfoy i  descendant    ,  brutus malfoy  descendant    ,  septimus malfoy  descendant    ,  abraxas malfoy  descendant    ,  lucius malfoy ii  descendant  ,  draco malfoy  descendant  ,  scorpius malfoy  descendant  ,  malfoy family ]	missing	missing	missing	missing	t	g2	sp1	s2
c87e49d7 fe47 43df a1e8 9586d8fdb5ba	character	armando dippet	armando dippet	october 1637	between 1 september and 31 december 1992  aged 354 or 355 	male	human	brown  youth , white	missing	light	muggle	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	[ headmaster of hogwarts school of witchcraft and wizardry  early 20th century–between 1965   1971  ]	missing	[ headmaster ,  professor ]	missing	h	g2	sp1	s0
ae548e90 78a5 4972 bfcc c1700d9afde5	character	arman shettigar	arman shettigar	31 august 1982 or earlier	missing	male	human	missing	missing	missing	part human  quarter veela 	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	missing	missing	missing	missing	r	g2	sp1	s41
815eb688 4ca2 4984 ae35 78efaee78047	character	armenian warlock	armenian warlock	missing	missing	male	human	missing	missing	missing	magical to some extent	missing	armenian	missing	missing	wampus	missing	missing	missing	missing	missing	[ warlock ]	missing	w	g2	sp1	s61
6c558176 f2c8 44e5 b2eb 83c5e3b7fb2b	character	arnold	arnold	c  1996	missing	male	pygmy puff	purple	missing	missing	one eighth veela	missing	missing	missing	missing	pukwudgie	missing	missing	[ ginny weasley  owner  ,  weasleys  wizard wheezes  breeder  ]	missing	missing	missing	missing	p	g2	sp18	s36
9147b41b e868 4bb3 9390 31e40aab2537	character	arnold guzman	arnold guzman	before 1927	missing	male	human	missing	brown	brown	part goblin	missing	american	missing	missing	horned serpent	missing	missing	missing	[ american emissary to the international confederation of wizards ]	missing	missing	missing	hs	g2	sp1	s40
c2c79fae cf5b 4228 af91 26897e6d2b55	character	arnold peasegood	arnold peasegood	1976 or earlier	missing	male	human	missing	missing	missing	pure blood or half blood  possibly 	missing	missing	missing	missing	gryffindor	missing	[ arnie ]	[ abraham peasegood  possibly  ,  peasegood family ]	[ obliviator for the accidental magic reversal squad  c  1994 1999  ,  hit wizard ]	missing	missing	missing	g	g2	sp1	s9
0555953f ff49 4559 8471 e03cb983bdd3	character	arnold streeton	arnold streeton	31 august 1982 or earlier	missing	male	human	missing	missing	missing	one eighth veela	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	missing	missing	missing	missing	r	g2	sp1	s36
eca8cb48 9e99 4982 bb65 f7e9eae7d125	character	arnold vogler	arnold vogler	before 1977, germany possibly 	missing	male	human	brown	blue	white	muggle	missing	german	missing	missing	thunderbird	missing	missing	missing	[ professional quidditch player for the heidelberg harriers  formerly  ,  quidditch commentator ]	missing	missing	missing	t	g2	sp1	s0
69e69d3a 8152 4940 9f61 222bc48467db	character	arnulf moe	arnulf moe	missing	missing	male	human	missing	missing	missing	pure bloods, half bloods or squibs	missing	missing	missing	missing	ravenclaw	missing	missing	missing	[ manager of the norwegian national quidditch team ]	missing	missing	missing	r	g2	sp1	s37
9817218c 33a8 4934 a332 8d37b261fd8e	character	aron woodbridge	aron woodbridge	31 august 1982 or earlier	missing	male	human	missing	missing	missing	pure blood,half blood or muggle born	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	missing	missing	missing	missing	r	g2	sp1	s46
c9ed6499 eb54 4661 964b eee5b25f2c23	character	arsenia gonzales	arsenia gonzales	after 1976	missing	female	human	missing	missing	missing	muggle born or half blood  presumably 	missing	missing	missing	missing	slytherin	missing	missing	missing	[ chaser for the american national quidditch team ]	missing	missing	missing	s	g1	sp1	s54
92a363ba 3869 475c 8864 f27d4d4636ef	character	arsenius jigger	arsenius jigger	missing	missing	male	human	brown	dark	white	pure blood  likely 	missing	british or irish	missing	missing	thunderbird	missing	missing	missing	[ author ,  potioneer ,  professor of defence against the dark arts at hogwarts school of witchcraft and wizardry ]	missing	[ professor ]	missing	t	g2	sp1	s39
db50f4fe 9c34 4c07 88f2 111ed74590df	character	artemis owl	artemis	missing	missing	female	eagle owl	missing	missing	missing	half blood  possibly 	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	missing	missing	missing	missing	h	g1	sp19	s29
2bec6295 7415 4e55 b477 546e56e79049	character	artemis goddess	artemis	amortal	amortal	female	deity	missing	missing	missing	half blood, pure blood or squib	missing	greek	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g1	sp20	s56
96a2985a 9246 4bc1 8325 a1cbcd8a1f4b	character	artemisia lufkin	artemisia lufkin	1754	1825  aged 70 71 	female	human	grey	missing	pale	pure blood or half blood	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	[ minister for magic  1798   1811  ]	missing	[ minister for magic ]	missing	h	g1	sp1	s4
a54e2222 b2a3 443a 9fa1 70d63f24eaad	character	artemius lawson	artemius lawson	missing	missing	male	human	missing	missing	missing	half blood or squib	missing	british	missing	missing	wampus	missing	missing	missing	[ activist ]	missing	missing	missing	w	g2	sp1	s8
